year,month,ngram,count,mean,date,ngram_lower,theme
2022,2022-08,humanitarian aid,1,1.0,2022-08-01,humanitarian aid,Sympathy
2021,2021-07,civilian casualties,1,1.0,2021-07-01,civilian casualties,Aggression
2021,2021-08,international support,1,1.0,2021-08-01,international support,Sympathy
2021,2021-08,civilian casualties,1,1.0,2021-08-01,civilian casualties,Aggression
2023,2023-09,humanitarian aid,1,1.0,2023-09-01,humanitarian aid,Sympathy
2023,2023-02,military attack,1,1.0,2023-02-01,military attack,Aggression
2023,2023-04,innocent civilians,1,1.0,2023-04-01,innocent civilians,Sympathy
2023,2023-04,international support,1,1.0,2023-04-01,international support,Sympathy
2023,2023-02,innocent civilians,1,1.0,2023-02-01,innocent civilians,Sympathy
2023,2023-01,military attack,1,1.0,2023-01-01,military attack,Aggression
2023,2023-01,humanitarian aid,1,1.0,2023-01-01,humanitarian aid,Sympathy
2023,2023-07,air strike,1,1.0,2023-07-01,air strike,Aggression
2023,2023-07,dead bodies,1,1.0,2023-07-01,dead bodies,Aggression
2023,2023-07,civilian casualties,1,1.0,2023-07-01,civilian casualties,Aggression
2023,2023-06,medical help,1,1.0,2023-06-01,medical help,Sympathy
2023,2023-06,rocket fire,1,1.0,2023-06-01,rocket fire,Aggression
2023,2023-07,military attack,1,1.0,2023-07-01,military attack,Aggression
2023,2023-07,humanitarian aid,1,1.0,2023-07-01,humanitarian aid,Sympathy
